step      t          T         xB         xC         yC         xG         yG       F_xB       F_xC       F_yC      E_pot      E_cin      E_tot
   0 0.0000 299.99999999 1.33500000 0.66750000 1.15614391 0.66750000 0.38538130 -0.00000001 -0.00000000 -0.00000001 0.00000000 0.89424184 0.89424184
   1 0.0005 298.11581179 1.33727746 0.66977746 1.15842137 0.66901831 0.38614046 -1.95744814 -0.34343145 -2.64172228 0.00562776 0.88862545 0.89425320
   2 0.0010 292.52568599 1.33953789 0.67205193 1.16067585 0.67052994 0.38689195 -3.89517017 -0.69212137 -5.25893815 0.02232553 0.87196236 0.89428789
   3 0.0015 283.41565279 1.34176442 0.67432038 1.16288457 0.67202827 0.38762819 -5.79513354 -1.04763220 -7.82673719 0.04953749 0.84480712 0.89434461
   4 0.0020 271.08943152 1.34394054 0.67657971 1.16502519 0.67350675 0.38834173 -7.63971711 -1.41143300 -10.32066198 0.08635619 0.80806504 0.89442124
   5 0.0025 255.95711455 1.34605019 0.67882676 1.16707602 0.67495899 0.38902534 -9.41188168 -1.78486956 -12.71694275 0.13155638 0.76295854 0.89451492
   6 0.0030 238.51993935 1.34807796 0.68105829 1.16901621 0.67637875 0.38967207 -11.09533454 -2.16913465 -14.99272631 0.18364050 0.71098170 0.89462220
   7 0.0035 219.35173265 1.35000919 0.68327094 1.17082596 0.67776004 0.39027532 -12.67468636 -2.56523901 -17.12629692 0.24089410 0.65384499 0.89473909
   8 0.0040 199.07773604 1.35183014 0.68546128 1.17248670 0.67909714 0.39082890 -14.13559887 -2.97398374 -19.09728672 0.30144917 0.59341214 0.89486131
   9 0.0045 178.35162145 1.35352811 0.68762574 1.17398129 0.68038462 0.39132710 -15.46492162 -3.39593476 -20.88687350 0.36335276 0.53163161 0.89498437
  10 0.0050 157.83157190 1.35509154 0.68976065 1.17529415 0.68161739 0.39176472 -16.65081662 -3.83140015 -22.47796370 0.42463848 0.47046532 0.89510380
  11 0.0055 138.15633666 1.35651009 0.69186223 1.17641145 0.68279077 0.39213715 -17.68286943 -4.28041090 -23.85535852 0.48339801 0.41181726 0.89521527
  12 0.0060 119.92216804 1.35777479 0.69392657 1.17732120 0.68390045 0.39244040 -18.55218553 -4.74270573 -25.00590149 0.53785007 0.35746474 0.89531481
  13 0.0065 103.66151009 1.35887809 0.69594964 1.17801339 0.68494258 0.39267113 -19.25147111 -5.21772059 -25.91860577 0.58640402 0.30899487 0.89539889
  14 0.0070 89.82423932 1.35981389 0.69792732 1.17848008 0.68591374 0.39282669 -19.77509729 -5.70458311 -26.58475982 0.62771598 0.26774864 0.89546463
  15 0.0075 78.76215583 1.36057764 0.69985537 1.17871547 0.68681100 0.39290516 -20.11914730 -6.20211239 -26.99801023 0.66073511 0.23477472 0.89550983
  16 0.0080 70.71729605 1.36116634 0.70172945 1.17871597 0.68763193 0.39290532 -20.28144619 -6.70882441 -27.15442092 0.68473856 0.21079455 0.89553311
  17 0.0085 65.81448827 1.36157859 0.70354517 1.17848021 0.68837459 0.39282674 -20.26157282 -7.22294281 -27.05250803 0.69935369 0.19618023 0.89553392
  18 0.0090 64.05840761 1.36181456 0.70529804 1.17800909 0.68903753 0.39266970 -20.06085418 -7.74241524 -26.69325018 0.70456687 0.19094570 0.89551256
  19 0.0095 65.33521305 1.36187599 0.70698356 1.17730573 0.68961985 0.39243524 -19.68234233 -8.26493479 -26.08007396 0.70071859 0.19475160 0.89547020
  20 0.0100 69.41867302 1.36176618 0.70859716 1.17637546 0.69012111 0.39212515 -19.13077427 -8.78796620 -25.21881515 0.68848515 0.20692361 0.89540875
  21 0.0105 75.98051500 1.36148992 0.71013431 1.17522578 0.69054141 0.39174193 -18.41251556 -9.30877623 -24.11765588 0.66884770 0.22648319 0.89533089
  22 0.0110 84.60457469 1.36105347 0.71159046 1.17386626 0.69088131 0.39128875 -17.53548837 -9.82446760 -22.78703873 0.64305002 0.25218984 0.89523985
  23 0.0115 94.80417828 1.36046445 0.71296115 1.17230849 0.69114187 0.39076950 -16.50908510 -10.33201568 -21.23955885 0.61254650 0.28259288 0.89513938
  24 0.0120 106.04207185 1.35973180 0.71424193 1.17056593 0.69132458 0.39018864 -15.34406861 -10.82830704 -19.48983521 0.57894266 0.31609086 0.89503352
  25 0.0125 117.75212042 1.35886565 0.71542851 1.16865381 0.69143139 0.38955127 -14.05246047 -11.31017913 -17.55436279 0.54393028 0.35099624 0.89492652
  26 0.0130 129.36193747 1.35787723 0.71651669 1.16658895 0.69146464 0.38886298 -12.64741849 -11.77445987 -15.45134724 0.50921976 0.38560286 0.89482262
  27 0.0135 140.31557697 1.35677878 0.71750242 1.16438966 0.69142707 0.38812989 -11.14310522 -12.21800648 -13.20052398 0.47647237 0.41825353 0.89472591
  28 0.0140 150.09542472 1.35558338 0.71838185 1.16207552 0.69132175 0.38735851 -9.55454870 -12.63774257 -10.82296384 0.44723481 0.44740537 0.89464017
  29 0.0145 158.24246220 1.35430486 0.71915133 1.15966721 0.69115206 0.38655574 -7.89749720 -13.03069253 -8.34086738 0.42287865 0.47169010 0.89456876
  30 0.0150 164.37414448 1.35295762 0.71980744 1.15718634 0.69092169 0.38572878 -6.18826949 -13.39401273 -5.77735011 0.40454697 0.48996746 0.89451443
  31 0.0155 168.19922889 1.35155654 0.72034702 1.15465520 0.69063452 0.38488507 -4.44360204 -13.72501861 -3.15622095 0.39310999 0.50136930 0.89447929
  32 0.0160 169.52901043 1.35011680 0.72076718 1.15209661 0.69029466 0.38403220 -2.68049476 -14.02120741 -0.50175621 0.38913157 0.50533312 0.89446468
  33 0.0165 168.28455812 1.34865374 0.72106535 1.14953364 0.68990636 0.38317788 -0.91605662 -14.28027613 2.16152852 0.39284752 0.50162365 0.89447117
  34 0.0170 164.49969829 1.34718271 0.72123928 1.14698949 0.68947400 0.38232983 0.83264761 -14.50013452 4.80910651 0.40415678 0.49034171 0.89449849
  35 0.0175 158.31965014 1.34571892 0.72128705 1.14448717 0.68900199 0.38149572 2.54874821 -14.67891318 7.41666569 0.42262539 0.47192019 0.89454558
  36 0.0180 149.99538041 1.34427731 0.72120712 1.14204938 0.68849481 0.38068313 4.21571789 -14.81496701 9.96033014 0.44750348 0.44710715 0.89461063
  37 0.0185 139.87390135 1.34287238 0.72099828 1.13969825 0.68795689 0.37989942 5.81751488 -14.90687434 12.41687536 0.47775415 0.41693699 0.89469113
  38 0.0190 128.38488419 1.34151806 0.72065975 1.13745516 0.68739260 0.37915172 7.33872066 -14.95343228 14.76393537 0.51209354 0.38269045 0.89478399
  39 0.0195 116.02409321 1.34022759 0.72019112 1.13534051 0.68680624 0.37844684 8.76467187 -14.95364906 16.98020015 0.54904030 0.34584533 0.89488563
  40 0.0200 103.33426032 1.33901337 0.71959239 1.13337360 0.68620192 0.37779120 10.08158557 -14.90673402 19.04560177 0.58697272 0.30801940 0.89499212
  41 0.0205 90.88411071 1.33788687 0.71886397 1.13157239 0.68558361 0.37719080 11.27667739 -14.81208633 20.94148801 0.62419144 0.27090792 0.89509935
  42 0.0210 79.24631642 1.33685849 0.71800667 1.12995338 0.68495505 0.37665113 12.33827210 -14.66928317 22.65078220 0.65898524 0.23621791 0.89520315
  43 0.0215 68.97519234 1.33593744 0.71702175 1.12853143 0.68431973 0.37617714 13.25590622 -14.47806842 24.15812832 0.68969777 0.20560168 0.89529945
  44 0.0220 60.58495852 1.33513173 0.71591086 1.12731968 0.68368086 0.37577323 14.02042201 -14.23834272 25.45002049 0.71479241 0.18059202 0.89538443
  45 0.0225 54.52937308 1.33444801 0.71467609 1.12632935 0.68304137 0.37544312 14.62405278 -13.95015572 26.51491608 0.73291320 0.16254149 0.89545469
  46 0.0230 51.18349229 1.33389151 0.71331995 1.12556970 0.68240382 0.37518990 15.06049868 -13.61370124 27.34333198 0.74293928 0.15256807 0.89550734
  47 0.0235 50.82824014 1.33346605 0.71184537 1.12504796 0.68177047 0.37501599 15.32499278 -13.22931582 27.92792335 0.74403099 0.15150913 0.89554012
  48 0.0240 53.63837166 1.33317392 0.71025569 1.12476919 0.68114320 0.37492306 15.41435670 -12.79748110 28.26354468 0.73566591 0.15988559 0.89555150
  49 0.0245 59.67429515 1.33301590 0.70855466 1.12473633 0.68052352 0.37491211 15.32704525 -12.31883017 28.34729270 0.71766321 0.17787751 0.89554071
  50 0.0250 68.87808240 1.33299124 0.70674646 1.12495010 0.67991257 0.37498337 15.06317939 -11.79415777 28.17853104 0.69019562 0.20531221 0.89550783
  51 0.0255 81.07384730 1.33309763 0.70483564 1.12540904 0.67931109 0.37513635 14.62456682 -11.22443418 27.75889647 0.65378831 0.24166542 0.89545373
  52 0.0260 95.97251697 1.33333125 0.70282717 1.12610948 0.67871947 0.37536983 14.01470941 -10.61082214 27.09228662 0.60930462 0.28607547 0.89538009
  53 0.0265 113.18086009 1.33368681 0.70072638 1.12704564 0.67813773 0.37568188 13.23879678 -9.95469635 26.18482924 0.55791913 0.33737020 0.89528934
  54 0.0270 132.21448110 1.33415755 0.69853898 1.12820962 0.67756551 0.37606987 12.30368528 -9.25766437 25.04483300 0.50107881 0.39410574 0.89518455
  55 0.0275 152.51434047 1.33473534 0.69627103 1.12959150 0.67700212 0.37653050 11.21786169 -8.52158816 23.68272004 0.44045369 0.45461568 0.89506937
  56 0.0280 173.46622660 1.33541073 0.69392895 1.13117942 0.67644656 0.37705981 9.99139117 -7.74860503 22.11094043 0.37787866 0.51706920 0.89494785
  57 0.0285 194.42248860 1.33617305 0.69151944 1.13295972 0.67589750 0.37765324 8.63584891 -6.94114680 20.34386894 0.31528859 0.57953575 0.89482434
  58 0.0290 214.72524607 1.33701050 0.68904955 1.13491701 0.67535335 0.37830567 7.16423539 -6.10195598 18.39768452 0.25464896 0.64005433 0.89470330
  59 0.0295 233.73022589 1.33791028 0.68652657 1.13703437 0.67481228 0.37901146 5.59087518 -5.23409785 16.29023310 0.19788464 0.69670449 0.89458914
  60 0.0300 250.83033984 1.33885871 0.68395805 1.13929347 0.67427225 0.37976449 3.93129939 -4.34096724 14.04087436 0.14680945 0.74767662 0.89448607
  61 0.0305 265.47811380 1.33984134 0.68135176 1.14167472 0.67373103 0.38055824 2.20211248 -3.42628919 11.67031344 0.10305913 0.79133879 0.89439792
  62 0.0310 277.20610842 1.34084312 0.67871566 1.14415751 0.67318626 0.38138584 0.42084398 -2.49411246 9.20041861 0.06803033 0.82629767 0.89432800
  63 0.0315 285.64453504 1.34184857 0.67605787 1.14672035 0.67263548 0.38224012 -1.39421363 -1.54879556 6.65402613 0.04282799 0.85145099 0.89427897
  64 0.0320 290.53536467 1.34284189 0.67338659 1.14934108 0.67207616 0.38311369 -3.22417969 -0.59498462 4.05473372 0.02822312 0.86602960 0.89425272
  65 0.0325 291.74235267 1.34380716 0.67071014 1.15199708 0.67150577 0.38399903 -5.04977099 0.36241678 1.42668428 0.02462290 0.86962740 0.89425030
  66 0.0330 289.25654991 1.34472850 0.66803685 1.15466550 0.67092178 0.38488850 -6.85149650 1.31828589 -1.20565828 0.03205416 0.86221770 0.89427186
  67 0.0335 283.19704047 1.34559022 0.66537502 1.15732343 0.67032175 0.38577448 -8.60985895 2.26732677 -3.81773927 0.05016117 0.84415548 0.89431665
  68 0.0340 273.80682810 1.34637703 0.66273292 1.15994815 0.66970332 0.38664938 -10.30556104 3.20412321 -6.38514721 0.07821795 0.81616508 0.89438303
  69 0.0345 261.44398251 1.34707418 0.66011870 1.16251731 0.66906429 0.38750577 -11.91971372 4.12319797 -8.88384936 0.11515468 0.77931383 0.89446852
  70 0.0350 246.56834477 1.34766763 0.65754035 1.16500918 0.66840266 0.38833639 -13.43404388 5.01907701 -11.29042644 0.15959745 0.73497244 0.89456989
  71 0.0355 229.72427035 1.34814420 0.65500567 1.16740281 0.66771662 0.38913427 -14.83109890 5.88635764 -13.58230394 0.20991979 0.68476352 0.89468330
  72 0.0360 211.52005174 1.34849172 0.65252220 1.16967828 0.66700464 0.38989276 -16.09444523 6.71977908 -15.73797769 0.26430416 0.63050027 0.89480443
  73 0.0365 192.60480209 1.34869923 0.65009719 1.17181682 0.66626547 0.39060561 -17.20885831 7.51429385 -17.73723088 0.32081107 0.57411758 0.89492864
  74 0.0370 173.64369189 1.34875701 0.64773757 1.17380104 0.66549819 0.39126701 -18.16050135 8.26513859 -19.56134033 0.37745298 0.51759818 0.89505117
  75 0.0375 155.29250585 1.34865678 0.64544985 1.17561507 0.66470221 0.39187169 -18.93709030 8.96790242 -21.19326928 0.43227044 0.46289686 0.89516730
  76 0.0380 138.17252386 1.34839180 0.64324016 1.17724471 0.66387732 0.39241490 -19.52804284 9.61859148 -22.61784460 0.48340706 0.41186551 0.89527257
  77 0.0385 122.84672613 1.34795691 0.64111415 1.17867757 0.66302369 0.39289252 -19.92460919 10.21368800 -23.82191608 0.52918066 0.36618228 0.89536294
  78 0.0390 109.79827692 1.34734868 0.63907700 1.17990317 0.66214189 0.39330106 -20.11998286 10.75020252 -24.79449578 0.56814759 0.32728738 0.89543497
  79 0.0395 99.41215633 1.34656539 0.63713339 1.18091304 0.66123293 0.39363768 -20.10938988 11.22571800 -25.52687585 0.59915757 0.29632837 0.89548594
  80 0.0400 91.96068758 1.34560714 0.63528744 1.18170083 0.66029819 0.39390028 -19.89015502 11.63842472 -26.01272297 0.62139698 0.27411698 0.89551396
  81 0.0405 87.59355299 1.34447585 0.63354275 1.18226229 0.65933953 0.39408743 -19.46174423 11.98714523 -26.24814831 0.63441868 0.26109940 0.89551808
  82 0.0410 86.33271265 1.34317523 0.63190235 1.18259539 0.65835919 0.39419846 -18.82578261 12.27134858 -26.23175208 0.63815722 0.25734108 0.89549830
  83 0.0415 88.07244118 1.34171081 0.63036872 1.18270026 0.65735985 0.39423342 -17.98604761 12.49115363 -25.96464179 0.63292870 0.26252687 0.89545558
  84 0.0420 92.58449043 1.34008992 0.62894377 1.18257923 0.65634456 0.39419308 -16.94843763 12.64732131 -25.45042398 0.61941538 0.27597642 0.89539180
